Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Gene type	UniProtKB-Gene Ontology Annotation ID	UniProtKB/Swiss-Prot ID
PF3D7_0411200	conserved Plasmodium protein, unknown function	4	505933	509670	-1		protein_coding	Q9U0H6	
PF3D7_0420300	transcription factor with AP2 domain(s)	4	917990	928411	1		protein_coding	Q8I1N6	Q8I1N6
PF3D7_0406100	V-type proton ATPase subunit B	4	323267	325225	-1		protein_coding	Q6ZMA8	Q25691
PF3D7_0410800	conserved Plasmodium protein, unknown function	4	485832	489728	1		protein_coding		
PF3D7_0405600	conserved Plasmodium membrane protein, unknown function	4	303329	305343	1		protein_coding	Q8I1X3	
PF3D7_0422400	40S ribosomal protein S19	4	1026648	1027399	1		protein_coding	Q8IFP2	
PF3D7_0424900	Plasmodium exported protein (PHISTa), unknown function	4	1127779	1128802	1		protein_coding	Q8IFL7	
PF3D7_0404800	conserved Plasmodium protein, unknown function	4	264305	266170	-1		protein_coding		
PF3D7_0423100	AP-4 complex subunit sigma, putative	4	1049270	1049894	-1		protein_coding	Q8IFN5	
PF3D7_0402000	Plasmodium exported protein (PHISTa), unknown function	4	114601	116058	-1		protein_coding	Q8I206	
PF3D7_0403900	SET domain protein, putative	4	219087	222838	1		protein_coding	Q8I1Z0	
PF3D7_0419800	60S ribosomal protein L7ae/L30e, putative	4	874811	875521	-1		protein_coding	Q8I1P0	
PF3D7_0403400	conserved Plasmodium protein, unknown function	4	182870	194712	1		protein_coding	C0H487	
PF3D7_0410000	erythrocyte vesicle protein 1	4	464732	467339	-1		protein_coding	Q9U0I6	
PF3D7_0411400	DEAD box ATP-dependent RNA helicase, putative	4	513154	517068	-1		protein_coding	Q9U0H4	
PF3D7_0421100	erythrocyte membrane protein 1, PfEMP1	4	958067	965611	-1		protein_coding	Q8IFQ4	
PF3D7_0409300	conserved Plasmodium protein, unknown function	4	440968	444242	-1		protein_coding		
PF3D7_0419000	conserved Plasmodium protein, unknown function	4	849793	852242	1		protein_coding	Q8I1P7	
PF3D7_0421300	erythrocyte membrane protein 1, PfEMP1	4	969031	976591	-1		protein_coding	Q8IFQ2	
PF3D7_0400400	erythrocyte membrane protein 1, PfEMP1	4	45555	56860	-1		protein_coding	Q8I218	
PF3D7_0404400	6-cysteine protein	4	238360	239499	-1		protein_coding	Q8I1Y5	Q8I1Y5
PF3D7_0420200	holo-[acyl-carrier-protein] synthase, putative	4	910187	911971	1		protein_coding	Q8I1N7	
PF3D7_0413200	rifin	4	603166	604456	-1		protein_coding	Q8I1V5	
PF3D7_0400500	rifin	4	59636	60939	1		protein_coding	Q8I217	
PF3D7_0403700	pre-mRNA-splicing factor CLF1, putative	4	206228	209394	-1		protein_coding	Q8I1Z2	
PF3D7_0408400	conserved Plasmodium protein, unknown function	4	406233	407909	-1		protein_coding		
PF3D7_0408000	conserved Plasmodium protein, unknown function	4	394065	394580	-1		protein_coding		
PF3D7_0412300	phosphopantothenoylcysteine synthetase,putative	4	543625	545247	1		protein_coding	Q9U0G7	
PF3D7_0418100	conserved Plasmodium protein, unknown function	4	810995	814642	-1		protein_coding		
PF3D7_0413100	erythrocyte membrane protein 1, PfEMP1	4	591949	599849	-1		protein_coding	Q8I1V6	
PF3D7_0401400	rifin	4	85397	86608	1		protein_coding	Q8I210	
PF3D7_0425800	erythrocyte membrane protein 1, PfEMP1	4	1156423	1167821	1		protein_coding	Q8I098	
PF3D7_0416600	prohibitin-like protein, putative	4	726265	727128	1		protein_coding		
PF3D7_0418200	eukaryotic translation initiation factor 3 subunit M, putative	4	817400	818689	1		protein_coding	Q8I1Q5	
PF3D7_0406800	conserved Plasmodium protein, unknown function	4	351527	352983	-1		protein_coding	Q8I1W3	
PF3D7_0408100	conserved Plasmodium protein, unknown function	4	397328	400693	1		protein_coding		
PF3D7_0419200	protein transport protein GOT1, putative	4	854879	855289	1		protein_coding	Q8I1P5	
PF3D7_0417400	conserved Plasmodium protein, unknown function	4	756294	776603	1		protein_coding	C0H4B0	
PF3D7_0417300	LETM1-like protein, putative	4	750860	753712	-1		protein_coding	Q8I1R5	
PF3D7_0415900	60S ribosomal protein L15, putative	4	697918	698768	-1		protein_coding	C0H4A6	
PF3D7_0422800	serpentine receptor, putative	4	1042564	1044896	1		protein_coding	C0H4C0	
PF3D7_0419700	apical merozoite protein	4	873138	874115	1		protein_coding	Q8I1P1	
PF3D7_0423400	asparagine-rich protein	4	1055665	1056318	1		protein_coding	Q8IFN2	
PF3D7_0419900	phosphatidylinositol 4-kinase, putative	4	878022	893866	1		protein_coding	B9ZSJ6	
PF3D7_0424100	reticulocyte binding protein homologue 5	4	1082363	1084150	-1		protein_coding	Q8IFM5	
PF3D7_0403800	alpha/beta hydrolase, putative	4	211515	213854	-1		protein_coding	Q8I1Z1	
PF3D7_0404300	conserved Plasmodium protein, unknown function	4	234014	237013	-1		protein_coding	Q8I1Y6	
PF3D7_0414400	conserved Plasmodium protein, unknown function	4	652350	653554	1		protein_coding		
PF3D7_0408500	flap endonuclease 1	4	408679	410697	-1		protein_coding	Q7K734	Q7K734
PF3D7_0408500	flap endonuclease 1	4	408679	410697	-1		protein_coding	Q7K734	Q9GZ01
PF3D7_0413500	phosphoglucomutase-2	4	615356	616243	1		protein_coding	Q8I1V2	
PF3D7_0410900	conserved Plasmodium protein, unknown function	4	490442	493375	-1		protein_coding		
PF3D7_0400300	rifin	4	42032	43374	-1		protein_coding	Q8I219	
PF3D7_0421700	conserved Plasmodium protein, unknown function	4	987842	994360	-1		protein_coding		
PF3D7_0425400	Plasmodium exported protein (PHISTa), unknown function	4	1143992	1144824	1		protein_coding	Q8IFL1	
PF3D7_0401100	Plasmodium exported protein, unknown function,fragment	4	76033	76245	-1		protein_coding		
PF3D7_0410400	exosome complex component RRP4, putative	4	474542	475558	1		protein_coding	Q9U0I4	
PF3D7_0410700	ribosome biogenesis GTPase A, putative	4	481177	483891	-1		protein_coding	Q9U0I1	
PF3D7_0420100	serine/threonine protein kinase RIO2	4	907056	908801	1		protein_coding	Q8I1N8	
PF3D7_0420500	conserved Plasmodium protein, unknown function	4	930404	931608	-1		protein_coding		
PF3D7_0419100	conserved Plasmodium protein, unknown function	4	852510	853566	1		protein_coding		
PF3D7_0417800	cdc2-related protein kinase 1	4	787243	789342	-1		protein_coding	Q8I1Q9	
PF3D7_0419500	conserved Plasmodium membrane protein, unknown function	4	866501	868111	-1		protein_coding	Q8I1P2	
PF3D7_0409100	U4/U6 small nuclear ribonucleoprotein PRP31,putative	4	436217	437981	-1		protein_coding	C0H4A0	
PF3D7_0412900	erythrocyte membrane protein 1, PfEMP1	4	576810	584668	-1		protein_coding	Q8I1V7	
PF3D7_0422300	alpha tubulin 2	4	1022487	1024166	1		protein_coding	Q8IFP3	
PF3D7_0405300	liver specific protein 2, putative	4	282403	288297	-1		protein_coding	Q8I1X6	
PF3D7_0416400	histone acetyltransferase, putative	4	718202	722654	1		protein_coding	C0H4A7	
PF3D7_0424700	serine/threonine protein kinase, FIKK family	4	1118430	1122414	1		protein_coding	Q8IFL9	
PF3D7_0404200	conserved Plasmodium protein, unknown function	4	232595	233249	-1		protein_coding		
PF3D7_0406700	conserved Plasmodium protein, unknown function	4	347458	351499	1		protein_coding		
PF3D7_0418900	conserved Plasmodium protein, unknown function	4	847231	849059	1		protein_coding		
PF3D7_0416200	conserved protein, unknown function	4	709460	710083	-1		protein_coding	Q8I1S5	
PF3D7_0401000	rifin	4	73268	74340	-1		protein_coding	Q8I213	
PF3D7_0423900	probable protein, unknown function	4	1077926	1078488	-1		protein_coding	Q8IFM7	
PF3D7_0418000	conserved Plasmodium protein, unknown function	4	793827	810070	1		protein_coding	C0H4B3	
PF3D7_0409500	conserved Plasmodium protein, unknown function	4	449189	450633	-1		protein_coding	C0H4A1	
PF3D7_0422000	steroid dehydrogenase, putative	4	998647	1000185	1		protein_coding	C0H4B9	
PF3D7_0416100	glutamyl-tRNA(Gln) amidotransferase subunit A	4	706529	709009	1		protein_coding	Q8I1S6	
PF3D7_0408300	zinc finger, RAN binding protein, putative	4	403626	405366	-1		protein_coding	Q9U0K3	
PF3D7_0402100	Plasmodium exported protein (PHISTb), unknown function	4	123588	125464	-1		protein_coding	Q8I205	
PF3D7_0420400	ribosome-recycling factor	4	929340	930140	1		protein_coding	Q8IFQ7	
PF3D7_0404500	6-cysteine protein	4	240911	242347	-1		protein_coding	Q8I1Y4	Q8I1Y4
PF3D7_0415400	coatomer subunit zeta, putative	4	686414	687040	-1		protein_coding	Q8I1T3	
PF3D7_0401600.2	rifin	4	92576	93809	-1		protein_coding	A0A143ZXC7	
PF3D7_0412400	erythrocyte membrane protein 1, PfEMP1	4	545987	553810	-1		protein_coding	Q9U0G6	
PF3D7_0404000	conserved Plasmodium protein, unknown function	4	223711	224131	-1		protein_coding		
PF3D7_0406600	conserved Plasmodium protein, unknown function	4	346308	346727	1		protein_coding		
PF3D7_0406400	cytosolic glyoxalase II	4	332043	333856	1		protein_coding	C0H490	
PF3D7_0401600.1	rifin	4	92576	93809	-1		protein_coding	Q8I209	
PF3D7_0401200	rifin	4	79193	80451	1		protein_coding	Q8I212	
PF3D7_0422100	transmembrane emp24 domain-containing protein,putative	4	1001613	1002770	1		protein_coding	Q8IFP5	
PF3D7_0424200	reticulocyte binding protein homologue 4	4	1085979	1091277	-1		protein_coding	C0H496	
PF3D7_0415500	nuclear cap-binding protein subunit 2, putative	4	688192	689053	1		protein_coding	Q8I1T2	
PF3D7_0417600	conserved Plasmodium protein, unknown function	4	780250	783246	-1		protein_coding		
PF3D7_0407100	methyltransferase, putative	4	362301	363442	1		protein_coding	C0H494	
PF3D7_0407900	AAA family ATPase, putative	4	391347	393350	-1		protein_coding	Q9U0K7	
PF3D7_0405400	pre-mRNA-processing-splicing factor 8, putative	4	291251	300976	1		protein_coding	Q8I1X5	
PF3D7_0420000	zinc finger protein, putative	4	894612	904724	-1		protein_coding	Q8I1N9	
PF3D7_0416500	repressor of RNA polymerase III transcription MAF1, putative	4	723073	724242	-1		protein_coding	Q8I1S2	
PF3D7_0418300	conserved Plasmodium protein, unknown function	4	819362	822340	-1		protein_coding		
PF3D7_0414100	conserved Plasmodium membrane protein, unknown function	4	634029	638905	-1		protein_coding	Q8I1U6	
PF3D7_0404900	6-cysteine protein	4	267244	268380	-1		protein_coding	Q8I1Y0	Q8I1Y0
PF3D7_0400700	rifin	4	63104	64476	-1		protein_coding	Q8I216	
PF3D7_0418800	conserved Plasmodium protein, unknown function	4	843562	845169	1		protein_coding	C0H4B4	
PF3D7_0405100	protein transport protein Sec24B	4	272255	276824	-1		protein_coding	C0H489	
PF3D7_0423800	cysteine-rich protective antigen	4	1076347	1077534	1		protein_coding	Q8IFM8	
PF3D7_0422900	conserved Plasmodium protein, unknown function	4	1045381	1046696	1		protein_coding		
PF3D7_0423300	conserved Plasmodium protein, unknown function	4	1051576	1053006	-1		protein_coding	Q8IFN3	
PF3D7_0414600	conserved protein, unknown function	4	658620	659538	-1		protein_coding		
PF3D7_0401300	rifin	4	82247	83575	1		protein_coding	Q8I211	
PF3D7_0424400	surface-associated interspersed protein 4.2 (SURFIN 4.2)	4	1099811	1107111	1		protein_coding	Q8IFM2	
PF3D7_0425500	stevor	4	1146672	1147697	-1		protein_coding	Q8IFL0	
PF3D7_0412100	mitochondrial ribosomal protein S12 precursor,putative	4	540188	541198	-1		protein_coding	Q9U0G9	
PF3D7_0416300	DNA helicase MCM9, putative	4	711092	715489	-1		protein_coding	Q8I1S4	
PF3D7_0419600	ran binding protein 1, putative	4	870737	871873	1		protein_coding	Q76NN6	
PF3D7_0409600	replication protein A1, large subunit	4	452134	455571	-1		protein_coding	Q9U0J0	
PF3D7_0508000	6-cysteine protein	5	328666	329715	-1		protein_coding	Q8I423	Q8I423
PF3D7_0507400	conserved Plasmodium protein, unknown function	5	305961	306422	-1		protein_coding		
PF3D7_0506500	conserved Plasmodium protein, unknown function	5	265595	278345	1		protein_coding		
PF3D7_0528400	palmitoyltransferase	5	1171659	1173890	1		protein_coding	Q8I3I3	
PF3D7_0525200	structural maintenance of chromosomes protein 6,putative	5	1045462	1051253	1		protein_coding		
PF3D7_0516900	60S ribosomal protein L2	5	712762	713772	-1		protein_coding	Q8I3T9	
PF3D7_0522400	conserved Plasmodium protein, unknown function	5	907837	936315	1		protein_coding	C0H4F8	
PF3D7_0505400	conserved Plasmodium protein, unknown function	5	236143	238365	-1		protein_coding	Q8I448	
PF3D7_0508900	conserved Plasmodium protein, unknown function	5	367022	376426	1		protein_coding		
PF3D7_0502300	conserved Plasmodium protein, unknown function	5	107075	107938	-1		protein_coding	Q8I477	
PF3D7_0512200	glutathione synthetase	5	529934	531901	-1		protein_coding	Q8I3Y4	
PF3D7_0516500	metabolite/drug transporter, putative	5	683708	685859	1		protein_coding	C0H4E1	
PF3D7_0522000	conserved Plasmodium protein, unknown function	5	896018	896940	1		protein_coding		
PF3D7_0505700	conserved Plasmodium membrane protein, unknown function	5	247801	250575	-1		protein_coding	Q8I445	
PF3D7_0518600	WD repeat-containing protein 26, putative	5	769310	773140	1		protein_coding		
PF3D7_0523100	mitochondrial processing peptidase alpha subunit, putative	5	963227	965044	-1		protein_coding	Q8I3N3	
PF3D7_0501400	interspersed repeat antigen	5	74509	79842	1		protein_coding		
PF3D7_0527600	conserved Plasmodium protein, unknown function	5	1145857	1148810	-1		protein_coding		
PF3D7_0508800	single-stranded DNA-binding protein	5	363588	364442	-1		protein_coding	Q8I415	
PF3D7_0523000	multidrug resistance protein 1	5	957890	962149	1		protein_coding	Q7K6A5	
PF3D7_0503000	50S ribosomal protein L28, apicoplast, putative	5	125116	126514	1		protein_coding	C0H4C3	
PF3D7_0514500	conserved Plasmodium membrane protein, unknown function	5	605027	606330	-1		protein_coding	C0H4D9	
PF3D7_0529700	conserved Plasmodium protein, unknown function	5	1209006	1212102	-1		protein_coding		
PF3D7_0514600	ribose 5-phosphate epimerase, putative	5	607105	608451	-1		protein_coding	Q8I3W2	Q8I3W2
PF3D7_0526200.2	ADP-ribosylation factor GTPase-activating protein, putative	5	1081558	1083816	-1		protein_coding	A0A143ZVA6	
PF3D7_0529500	cell cycle regulator protein, putative	5	1206473	1207679	1		protein_coding	Q8I3H2	
PF3D7_0524300	conserved Plasmodium protein, unknown function	5	1010951	1012171	-1		protein_coding		
PF3D7_0525000	zinc finger protein, putative	5	1036229	1038343	1		protein_coding	Q8I3L5	
PF3D7_0515900	NLI interacting factor-like phosphatase,putative	5	660150	661136	-1		protein_coding	Q8I3U9	
PF3D7_0509900	conserved Plasmodium protein, unknown function	5	416365	417309	1		protein_coding		
PF3D7_0530300	conserved Plasmodium membrane protein, unknown function	5	1233401	1238086	1		protein_coding	C0H4G8	
PF3D7_0514300	aspartate--tRNA ligase, putative	5	600047	603433	1		protein_coding	Q8I3W4	
PF3D7_0530900	formin 1	5	1257723	1265750	-1		protein_coding	Q8I3F9	
PF3D7_0501700	anaphase promoting complex subunit, putative	5	86820	89201	-1		protein_coding		
PF3D7_0507200	subtilisin-like protease 3	5	298427	300736	-1		protein_coding	Q8I430	
PF3D7_0513700	secreted ookinete protein, putative	5	581227	584124	1		protein_coding		
PF3D7_0531200	mitochondrial ribosomal protein S16 precursor,putative	5	1279958	1280599	-1		protein_coding	Q8I3F6	
PF3D7_0519400	40S ribosomal protein S24	5	798036	798775	-1		protein_coding	Q8I3R6	
PF3D7_0529200	sugar transporter, putative	5	1192973	1195332	1		protein_coding	Q8I3H5	
PF3D7_0505000	conserved Plasmodium membrane protein, unknown function	5	209062	218189	-1		protein_coding	C0H4C6	
PF3D7_0506800	transcription factor 25, putative	5	284691	288023	1		protein_coding		
PF3D7_0527900	RNA helicase 1	5	1153676	1155673	1		protein_coding	Q8I3I8	
PF3D7_0512100	conserved Plasmodium protein, unknown function	5	528846	529409	-1		protein_coding		
PF3D7_0517800	apicortin, putative	5	745798	746634	-1		protein_coding	C0H4E4	
PF3D7_0506900	rhomboid protease ROM4	5	288776	291055	-1		protein_coding	Q8I433	
PF3D7_0503800	60S ribosomal protein L31	5	151422	152384	-1		protein_coding	Q8I463	
PF3D7_0530800	CPW-WPC family protein	5	1255221	1257254	1		protein_coding		
PF3D7_0522800	pre-mRNA-splicing factor BUD31, putative	5	944184	944931	-1		protein_coding	Q8I3N5	
PF3D7_0507000	conserved Plasmodium protein, unknown function	5	292696	293474	-1		protein_coding	Q8I432	
PF3D7_0532300	Plasmodium exported protein (PHISTb), unknown function	5	1308278	1309940	1		protein_coding		
PF3D7_0528100	AP-1 complex subunit beta, putative	5	1157840	1161553	-1		protein_coding	Q8I3I6	
PF3D7_0531100	conserved Plasmodium protein, unknown function	5	1270388	1278484	-1		protein_coding		
PF3D7_0503900	conserved Plasmodium protein, unknown function	5	153889	156057	-1		protein_coding	Q8I462	
PF3D7_0505100	trafficking protein particle complex subunit 8,putative	5	220839	229253	1		protein_coding	Q8I451	
PF3D7_0525800	inner membrane complex protein 1g, putative	5	1071247	1072149	1		protein_coding	Q8I3K7	
PF3D7_0509200	leucine-rich repeat protein	5	386956	388505	1		protein_coding	Q8I412	
PF3D7_0532400	lysine-rich membrane-associated PHISTb protein	5	1312471	1314154	1		protein_coding	Q8I3F0	
PF3D7_0528500	F-actin-capping protein subunit alpha, putative	5	1174907	1177067	1		protein_coding	Q8I3I2	
PF3D7_0505900	conserved Plasmodium protein, unknown function	5	254473	255517	-1		protein_coding		
PF3D7_0519700	conserved Plasmodium protein, unknown function	5	817066	819139	1		protein_coding		
PF3D7_0510800	WD repeat-containing protein, putative	5	461017	464399	1		protein_coding		
PF3D7_0501100.1	heat shock protein 40, type II	5	58037	59726	-1		protein_coding	Q8I489	
PF3D7_0512400	conserved Plasmodium protein, unknown function	5	536273	536977	1		protein_coding		
PF3D7_0516100	cation-transporting ATPase 1	5	667486	674861	1		protein_coding	Q8I3U7	Q04956
PF3D7_0509500	conserved Plasmodium protein, unknown function	5	401437	402771	1		protein_coding	Q8I409	
PF3D7_0523900	conserved Plasmodium membrane protein, unknown function	5	993433	994607	-1		protein_coding	C0H4G1	
PF3D7_0525400	G-protein coupled receptor, putative	5	1057651	1059054	1		protein_coding	Q8I3L1	
PF3D7_0502200	protein Mpv17, putative	5	104256	105737	1		protein_coding	Q8I478	
PF3D7_0520100	protein phosphatase PPM9, putative	5	831617	834343	1		protein_coding	C0H4F2	
PF3D7_0529300	apicoplast TIC22 protein	5	1196315	1197389	1		protein_coding	Q8I3H4	
PF3D7_0528900	conserved Plasmodium protein, unknown function	5	1183916	1185639	-1		protein_coding		
PF3D7_0518900	conserved Plasmodium protein, unknown function	5	785664	786565	-1		protein_coding		
PF3D7_0507600	cell differentiation protein, putative	5	313199	315157	1		protein_coding	Q8I427	
PF3D7_0508700	pre-mRNA-processing ATP-dependent RNA helicase PRP5, putative	5	358261	362733	1		protein_coding	Q8I416	
PF3D7_0527300	methionine aminopeptidase 1a, putative	5	1135976	1137870	-1		protein_coding	Q8I3J2	
PF3D7_0530500	conserved Plasmodium membrane protein, unknown function	5	1244751	1248359	1		protein_coding	C0H4G9	
PF3D7_0515800	BolA-like protein, putative	5	658423	658677	-1		protein_coding		
PF3D7_0511800	inositol-3-phosphate synthase	5	520720	522693	-1		protein_coding	Q8I3Y8	
PF3D7_0512300	CDK-activating kinase assembly factor	5	533556	534338	-1		protein_coding	Q8I3Y3	
PF3D7_0526700	conserved Plasmodium protein, unknown function	5	1117261	1119651	-1		protein_coding	Q8I3J8	
PF3D7_0521300	conserved Plasmodium protein, unknown function	5	870184	874570	-1		protein_coding		
PF3D7_0511600	apical rhoptry neck protein	5	517259	517885	-1		protein_coding	Q8I3Z0	
PF3D7_0532500	Plasmodium exported protein, unknown function	5	1316342	1316846	1		protein_coding	Q8I3E9	
PF3D7_0504600	2-oxoisovalerate dehydrogenase subunit beta,mitochondrial, putative	5	177410	178555	1		protein_coding	Q8I0X1	
PF3D7_0516700	ubiquitin carboxyl-terminal hydrolase 2,putative	5	694492	698778	1		protein_coding	Q8I3U1	
PF3D7_0501100.2	heat shock protein 40, type II	5	58037	59726	-1		protein_coding	A0A143ZY16	
PF3D7_0511700	EKC/KEOPS complex subunit CGI121	5	519129	520078	1		protein_coding	Q8I3Y9	
PF3D7_0505600	conserved Plasmodium protein, unknown function	5	245933	246934	1		protein_coding		
PF3D7_0508600	conserved Plasmodium protein, unknown function	5	356222	357010	1		protein_coding		
PF3D7_0505200	actin-like protein, putative	5	230695	232392	1		protein_coding	Q8I450	
PF3D7_0522900	zinc finger protein, putative	5	948951	953609	1		protein_coding	Q8I3N4	
PF3D7_0512600	ras-related protein Rab-1B	5	544540	545993	1		protein_coding	Q7K6A8	
PF3D7_0524700	mitochondrial import receptor subunit TOM22,putative	5	1019585	1019902	-1		protein_coding	Q8I3L8	
PF3D7_0502800	DnaJ protein, putative	5	122449	122862	1		protein_coding	Q8I473	
PF3D7_0504700	centrosomal protein CEP120, putative	5	180421	187470	1		protein_coding		
PF3D7_0520900	S-adenosyl-L-homocysteine hydrolase	5	857038	858477	1		protein_coding	P50250	P50250
PF3D7_0522600	inner membrane complex protein	5	940249	941700	1		protein_coding	Q8I3N7	
PF3D7_0528200	eukaryotic translation initiation factor 3 subunit E, putative	5	1163408	1165072	-1		protein_coding	Q8I3I5	
PF3D7_0509300	conserved Plasmodium protein, unknown function	5	388696	389191	-1		protein_coding		
PF3D7_0530750	dolichol-phosphate mannosyltransferase subunit 3, putative	5	1254282	1254796	-1		protein_coding	A0A143ZVA5	
PF3D7_0513800	ras-related protein Rab-1A	5	585357	585980	-1		protein_coding	Q8I3W9	
PF3D7_0515400	conserved Plasmodium protein, unknown function	5	637354	640381	1		protein_coding		
PF3D7_0500900	serine/threonine protein kinase, FIKK family	5	50422	52510	-1		protein_coding	Q8I491	
PF3D7_0514700	conserved Plasmodium protein, unknown function	5	610089	614771	1		protein_coding	Q8I3W1	
PF3D7_0532600	Plasmodium exported protein, unknown function	5	1318531	1319229	-1		protein_coding	C0H4H1	
PF3D7_0507900	conserved Plasmodium protein, unknown function	5	327656	328316	1		protein_coding		
PF3D7_0520200	conserved Plasmodium protein, unknown function	5	835314	837407	-1		protein_coding		
PF3D7_0506100	60S ribosomal subunit protein L24-2, putative	5	257748	258831	-1		protein_coding	Q8I441	
PF3D7_0509000	SNAP protein (soluble N-ethylmaleimide-sensitive factor attachment protein), putative	5	376855	378452	-1		protein_coding	Q8I0X0	
PF3D7_0524500	conserved Plasmodium protein, unknown function	5	1016198	1016569	1		protein_coding		
PF3D7_0529000	conserved Plasmodium protein, unknown function	5	1186787	1188946	-1		protein_coding	Q8I3H7	Q8I3H7
PF3D7_0513000	conserved Plasmodium protein, unknown function	5	555264	556073	1		protein_coding		
PF3D7_0532900	rifin	5	1326245	1327429	1		protein_coding	Q8I3E7	
PF3D7_0509400	RNA polymerase I	5	389914	398997	-1		protein_coding	Q8I410	
PF3D7_0505500	DNA mismatch repair protein MSH6, putative	5	239456	243880	-1		protein_coding	Q8I447	
PF3D7_0524900	tRNA-YW synthesizing protein, putative	5	1027396	1030362	1		protein_coding	Q8I3L6	
PF3D7_0510700	conserved Plasmodium protein, unknown function	5	459301	460344	1		protein_coding		
PF3D7_0524600	50S ribosomal protein L12, apicoplast, putative	5	1017809	1018582	1		protein_coding	Q8I3L9	
PF3D7_0523800	transporter, putative	5	990005	992059	1		protein_coding	Q8I3M7	
PF3D7_0527200	ubiquitin carboxyl-terminal hydrolase 14	5	1132937	1134854	-1		protein_coding	Q8I3J3	
PF3D7_0513100	conserved Plasmodium protein, unknown function	5	557039	558012	-1		protein_coding		
PF3D7_0514100	ATP-dependent DNA helicase UvrD	5	591338	595663	-1		protein_coding	Q8I3W6	
PF3D7_0517000	60S ribosomal protein L12, putative	5	715765	716675	-1		protein_coding	Q8I3T8	
PF3D7_0502700	conserved Plasmodium protein, unknown function	5	120107	121455	-1		protein_coding		
PF3D7_0521100	conserved Plasmodium protein, unknown function	5	861930	867583	-1		protein_coding		
PF3D7_0517300	serine/arginine-rich splicing factor 1	5	724681	725751	-1		protein_coding	Q8I3T5	
PF3D7_0504800	conserved Plasmodium protein, unknown function	5	187813	204732	-1		protein_coding		
PF3D7_0529400.1	conserved Plasmodium protein, unknown function	5	1199165	1205187	1		protein_coding		
PF3D7_0529900	RING zinc finger protein, putative	5	1220777	1221992	-1		protein_coding	Q8I3G9	
PF3D7_0503500	protein kinase, putative	5	142871	145423	-1		protein_coding	Q8I466	
PF3D7_0516600	sporozoite surface antigen MB2	5	686810	691642	-1		protein_coding	Q8I3U2	
PF3D7_0525100	acyl-CoA synthetase	5	1041745	1043766	1		protein_coding	Q8I3L4	
PF3D7_0531300	conserved Plasmodium protein, unknown function	5	1281289	1282254	1		protein_coding		
PF3D7_0510300	stripes inner membrane complex protein,putative	5	440779	441879	-1		protein_coding		
PF3D7_0501200	parasite-infected erythrocyte surface protein	5	64065	65489	1		protein_coding	Q8I488	
PF3D7_0520500	phosphomethylpyrimidine kinase, putative	5	841723	842655	-1		protein_coding	Q8I3Q5	
PF3D7_0516300	tRNA pseudouridine synthase, putative	5	678910	680955	1		protein_coding	Q8I3U5	
PF3D7_0528800	nucleolar preribosomal GTPase, putative	5	1180425	1182038	-1		protein_coding	Q8I3H9	
PF3D7_0501500	rhoptry-associated protein 3	5	81134	82336	-1		protein_coding	Q8I485	
PF3D7_0521500	ribosomal large subunit pseudouridylate synthase, putative	5	878068	879762	1		protein_coding	Q8I3P7	
PF3D7_0530700	conserved Plasmodium protein, unknown function	5	1250737	1254190	1		protein_coding	Q8I3G1	
PF3D7_0523200	conserved Plasmodium protein, unknown function	5	966123	969737	1		protein_coding		
PF3D7_0525300	conserved Plasmodium protein, unknown function	5	1052468	1053913	-1		protein_coding	Q8I3L2	
PF3D7_0513200	conserved Plasmodium protein, unknown function	5	559513	568384	1		protein_coding	Q8I3X5	
PF3D7_0519200	V-type proton ATPase 16 kDa proteolipid subunit	5	791719	792936	-1		protein_coding	Q8I3R7	
PF3D7_0515100	rhomboid protease ROM9	5	624719	626481	-1		protein_coding	Q8I3V7	
PF3D7_0503300	serine/arginine-rich splicing factor 12	5	135004	135930	-1		protein_coding	Q8I468	
PF3D7_0504100	AN1-like zinc finger family protein	5	165650	166642	-1		protein_coding	Q8I460	
PF3D7_0521000	conserved Plasmodium protein, unknown function	5	859373	861063	-1		protein_coding		
PF3D7_0511200	stearoyl-CoA desaturase	5	471055	474058	1		protein_coding	Q8I0W9	
PF3D7_0518000	conserved protein, unknown function	5	750661	752435	1		protein_coding	C0H4E6	
PF3D7_0501000	Plasmodium exported protein, unknown function	5	55841	56872	1		protein_coding	Q8I490	
PF3D7_0507500	subtilisin-like protease 1	5	307490	309556	-1		protein_coding	Q8I0V0	
PF3D7_0513500	mitochondrial import inner membrane translocase subunit TIM16, putative	5	573588	574248	1		protein_coding	Q8I3X2	
PF3D7_0518500	ATP-dependent RNA helicase DDX23, putative	5	763532	766903	-1		protein_coding	Q8I0W7	
PF3D7_0514800	kinase, putative	5	615282	617993	-1		protein_coding	Q8I3W0	
PF3D7_0508300	triose phosphate transporter	5	342205	343233	1		protein_coding	Q8I420	
PF3D7_0517400	FACT complex subunit SPT16, putative	5	731407	735162	1		protein_coding	Q8I3T4	
PF3D7_0521400	conserved Plasmodium protein, unknown function	5	875873	877561	-1		protein_coding	Q8I3P8	
PF3D7_0509600	asparagine--tRNA ligase	5	403342	405642	1		protein_coding	Q8I408	
PF3D7_0530400	conserved Plasmodium protein, unknown function	5	1238633	1243987	-1		protein_coding		
PF3D7_0527500	Hsc70-interacting protein	5	1143618	1145359	1		protein_coding	Q8I3J0	
